id,data,varia_dia,varia_1_dia_antes,varia_1_dia_depois,varia_2_dias_antes,varia_2_dias_depois,sentimento_PRE,sentimento_POS
1,2025-05-29,0.25,-0.09000015258788885,-0.21000003814697443,0.06999969482421875,-0.26999950408935725,10,6
2,2025-05-09,0.05999946594238459,0.05999946594238281,-0.3400001525878924,-0.13000011444091975,0.32000064849853516,-10,6
3,2025-05-08,0.05999946594238281,-0.13000011444091975,0.05999946594238459,-0.05000019073486328,-0.3400001525878924,10,8
4,2025-04-23,0.05000019073486328,0.1299991607665998,0.31999969482421875,0.21000003814697266,0.009999275207519531,10,6
5,2025-06-24,0.0,0.15000057220459162,-0.0900001525878924,-0.09000015258789062,0.09999942779541016,10,8
6,2025-06-11,-0.050000190734861505,-0.07999992370605469,0.18000030517578125,-0.019999504089353692,0.020000457763671875,10,6
7,2025-06-10,-0.07999992370605469,-0.019999504089353692,-0.050000190734861505,-0.04000091552734375,0.18000030517578125,10,6
8,2025-08-08,-0.08999919891357244,0.19999980926513494,-0.11999988555908203,0.2300004959106463,0.20999908447265625,10,9
9,2025-07-08,-0.10000038146972656,-0.1400003433227539,-0.17999935150146484,0.0,-0.03999996185302912,10,7
10,2025-07-01,-0.010000228881835938,0.26000022888183594,-0.34999942779541016,-0.18000030517577947,0.2899999618530291,-10,8
11,2025-05-05,0.0900001525878924,0.2799997329711914,-0.05000019073486328,0.22999954223632812,-0.13000011444091975,-10,6
12,2025-10-27,-0.06000041961669922,-0.05999946594238281,-0.1300001144409162,0.019999504089357245,0.15999984741210938,10,6
13,2025-10-23,0.019999504089357245,0.18999958038330078,-0.05999946594238281,0.13000011444091975,-0.06000041961669922,10,8
14,2025-10-03,0.019999504089353692,-0.24000072479248225,-0.07999992370605646,-0.09000015258789062,-0.15999984741210938,10,6
15,2025-08-26,0.0,0.22999954223632812,0.0,-0.09000015258789062,0.04999923706054865,10,3
